customer_id,age,gender,monthly_income,job_tenure,loan_amount,loan_term,credit_history,open_accounts,current_debt,past_delinquencies,marital_status,education_level,home_ownership,credit_approved
1,45,Male,3015,26,17680,14,733,5,14084,3,Divorced,High School,Rent,1
2,24,Male,2277,3,15039,52,757,7,7822,1,Married,Bachelor,Rent,1
3,34,Male,4490,1,27054,19,711,5,12640,0,Single,High School,Rent,1
4,40,Male,2204,6,15739,31,707,6,1584,2,Single,High School,Rent,0
5,37,Female,6729,9,29637,28,542,4,19047,3,Married,High School,Own,0
6,24,Female,5552,5,33343,47,701,2,8650,1,Single,PhD,Rent,1
7,23,Female,4674,2,22695,23,650,3,25600,4,Married,High School,Rent,1
8,33,Female,8038,4,50000,33,637,3,30000,2,Divorced,Bachelor,Own,0
9,22,Male,4487,0,38563,52,625,4,11431,8,Divorced,High School,Own,0
10,32,Male,11631,8,50000,59,499,4,30000,1,Single,Bachelor,Rent,0
11,37,Male,3116,10,17494,32,684,4,20270,5,Married,Bachelor,Rent,0
12,31,Male,9375,5,50000,55,629,4,27136,2,Married,High School,Rent,0
13,21,Female,6302,2,44242,20,722,7,20163,2,Married,Master,Rent,1
14,35,Male,5845,11,26910,14,834,4,24987,1,Single,Bachelor,Own,0
15,39,Female,2159,19,1000,26,704,2,18005,2,Single,Master,Own,0
16,31,Female,8223,1,43956,56,623,7,27442,3,Married,Master,Own,0
17,22,Male,15000,0,50000,19,756,4,30000,0,Single,Master,Own,0
18,51,Male,4207,30,34512,16,562,4,18426,7,Married,High School,Rent,0
19,56,Female,4766,5,37668,51,559,6,18149,1,Single,Bachelor,Rent,1
20,29,Male,3937,9,34589,40,579,4,6546,3,Married,Bachelor,Rent,0
21,39,Male,2786,5,5551,46,686,4,6722,2,Married,PhD,Rent,1
22,36,Male,4241,5,23139,58,738,2,28549,3,Single,High School,Rent,0
23,52,Female,4371,14,21490,18,749,4,16348,2,Married,High School,Rent,0
24,33,Female,5821,10,33036,47,648,4,20878,4,Divorced,High School,Rent,1
25,25,Female,4102,4,22285,59,523,3,8372,3,Married,Bachelor,Rent,0
26,58,Male,12623,14,50000,59,830,5,30000,0,Married,Bachelor,Own,1
27,36,Female,6501,17,40187,17,668,6,21465,3,Single,High School,Rent,0
28,34,Female,8907,4,47717,55,825,4,22806,5,Married,Bachelor,Rent,0
29,18,Male,5302,0,29963,47,779,4,23206,0,Single,High School,Rent,1
30,39,Female,2264,13,16917,38,558,2,9322,8,Married,High School,Rent,0
31,33,Male,7181,14,35919,60,620,4,27453,2,Single,Bachelor,Rent,0
32,54,Female,5656,7,28263,42,732,5,17990,2,Married,PhD,Rent,0
33,33,Male,4155,4,26731,57,734,1,15012,4,Married,PhD,Rent,0
34,38,Female,7696,6,40358,26,845,4,30000,2,Married,High School,Own,0
35,53,Female,6374,19,27242,30,662,3,25213,2,Married,Master,Rent,1
36,40,Male,5671,10,43463,44,694,7,18104,6,Single,High School,Rent,0
37,35,Male,5124,14,12859,52,720,3,14180,1,Married,Master,Own,1
38,42,Female,2000,23,5425,47,738,7,2695,2,Single,High School,Rent,0
39,35,Female,12678,10,50000,53,643,1,30000,4,Married,High School,Rent,0
40,24,Male,2636,2,14128,40,796,4,8078,3,Married,High School,Rent,1
41,68,Male,8340,27,50000,21,644,3,30000,4,Single,High School,Own,0
42,66,Male,3788,16,14341,15,485,3,6635,8,Married,High School,Rent,0
43,42,Male,2000,0,8140,35,778,4,3907,2,Single,High School,Rent,0
44,40,Female,6635,2,28661,36,836,2,30000,0,Single,High School,Own,1
45,25,Female,4272,7,19572,30,686,7,6819,0,Married,High School,Rent,0
46,39,Male,2492,11,20360,52,735,4,8032,1,Married,Bachelor,Own,0
47,25,Male,9277,7,34584,60,532,3,30000,3,Married,High School,Rent,1
48,32,Female,6443,5,48033,58,789,4,23184,4,Married,Bachelor,Rent,0
49,35,Female,7232,0,25833,39,850,3,8370,3,Divorced,Bachelor,Own,0
50,20,Male,5091,1,29617,19,764,5,21443,0,Single,High School,Rent,0
51,39,Male,2084,18,2968,49,803,2,14381,2,Married,Bachelor,Rent,0
52,40,Female,2371,20,8933,14,702,2,7689,2,Divorced,Bachelor,Rent,0
53,42,Female,7889,8,32496,39,584,5,30000,4,Single,PhD,Rent,0
54,39,Male,5236,3,30209,18,689,6,19193,1,Married,Bachelor,Rent,0
55,19,Male,3510,0,21777,40,569,6,10965,3,Married,Bachelor,Rent,0
56,40,Male,3638,14,5965,43,619,4,7572,2,Married,High School,Rent,0
57,38,Female,3733,20,29378,30,427,3,18642,7,Single,High School,Rent,0
58,25,Female,5567,7,46342,52,614,4,18682,3,Single,High School,Rent,1
59,37,Female,7553,12,47916,29,786,3,23731,0,Married,Bachelor,Rent,1
60,33,Female,3535,5,26890,59,730,2,13659,4,Divorced,Master,Rent,0
61,29,Female,4544,1,24564,18,850,5,25291,0,Single,Bachelor,Own,0
62,40,Female,3415,17,20402,12,685,4,17852,3,Divorced,Master,Rent,0
63,39,Female,3621,16,11233,36,555,4,10689,2,Married,Master,Rent,0
64,18,Male,2870,0,3599,31,743,3,9807,2,Married,Bachelor,Rent,0
65,32,Female,6275,11,31837,34,850,4,25618,0,Married,Bachelor,Rent,0
66,50,Female,6043,20,24507,14,683,2,29806,6,Divorced,High School,Own,0
67,39,Male,7697,2,39707,35,579,3,30000,2,Divorced,Bachelor,Own,0
68,21,Female,7118,0,50000,38,850,3,29801,0,Single,High School,Own,1
69,22,Female,6082,4,39959,13,717,6,30000,4,Married,Bachelor,Own,0
70,33,Male,6049,10,50000,28,640,2,21764,1,Single,Bachelor,Rent,0
71,24,Male,2000,2,1000,37,732,2,11875,2,Single,High School,Own,0
72,39,Female,4276,5,21943,36,622,2,19393,4,Single,High School,Rent,0
73,18,Female,5870,0,41088,41,678,3,25146,0,Married,High School,Own,0
74,54,Female,3499,9,12365,44,498,2,17826,2,Married,High School,Rent,0
75,46,Female,4518,17,26868,23,604,4,8570,3,Divorced,Bachelor,Own,0
76,39,Female,4739,8,17998,31,797,3,20748,0,Divorced,Bachelor,Rent,1
77,46,Female,5202,21,31339,56,677,5,7914,5,Single,High School,Own,0
78,43,Male,5403,5,45520,52,626,5,24936,2,Single,High School,Own,0
79,51,Male,5389,3,19739,50,824,4,21194,2,Married,Bachelor,Own,0
80,55,Male,2734,0,16093,37,739,2,10165,1,Single,High School,Rent,1
81,30,Female,11424,3,50000,42,850,3,30000,0,Single,High School,Rent,0
82,26,Male,6887,5,25181,51,583,2,25958,2,Single,High School,Rent,0
83,52,Female,15000,11,50000,59,613,2,30000,4,Married,Bachelor,Own,0
84,31,Female,9199,0,50000,26,727,4,30000,2,Married,Bachelor,Rent,1
85,25,Female,4639,1,30647,49,723,5,20406,1,Married,High School,Rent,0
86,46,Female,3924,24,24467,12,635,4,10870,3,Single,High School,Rent,1
87,21,Female,4713,1,23994,37,850,3,12903,1,Married,High School,Own,1
88,25,Female,5624,3,26749,13,688,4,25434,2,Married,High School,Own,0
89,34,Male,11338,3,50000,60,649,4,30000,2,Divorced,Bachelor,Own,0
90,27,Female,6803,6,45098,28,733,7,30000,1,Single,Bachelor,Rent,0
91,45,Male,3147,21,20520,46,675,2,15410,4,Single,Master,Rent,1
92,24,Male,3094,6,31047,19,535,8,11009,5,Married,High School,Rent,0
93,27,Female,7736,7,50000,35,628,1,28883,1,Married,High School,Own,1
94,21,Female,5972,0,28909,49,632,2,17381,7,Married,High School,Rent,0
95,42,Male,7208,21,46195,27,689,4,30000,3,Married,Master,Own,0
96,46,Female,4525,4,31852,58,739,2,9692,2,Single,Bachelor,Rent,0
97,33,Male,5397,1,22958,41,769,3,16239,2,Single,Bachelor,Own,0
98,40,Female,10711,15,50000,57,652,3,30000,3,Divorced,High School,Own,0
99,27,Male,2000,2,1000,46,558,5,10057,5,Divorced,Bachelor,Rent,0
100,42,Female,12599,9,50000,26,685,3,30000,1,Married,Bachelor,Own,1
101,22,Female,8334,2,50000,38,634,4,30000,1,Single,High School,Own,0
102,23,Male,2731,3,21762,17,778,3,8956,2,Married,Bachelor,Rent,1
103,26,Male,6544,8,23510,58,597,3,17243,5,Single,Bachelor,Own,0
104,37,Female,4106,17,13077,28,693,3,26292,3,Single,High School,Rent,0
105,31,Male,7150,7,32297,20,726,3,18524,2,Married,Bachelor,Rent,0
106,47,Female,4755,25,42907,22,850,4,28038,2,Single,High School,Own,1
107,46,Male,2155,3,14345,24,767,2,4477,1,Married,High School,Rent,0
108,53,Male,2228,32,21081,50,850,2,3644,0,Single,High School,Rent,0
109,45,Male,2619,7,5130,26,718,5,14719,2,Married,High School,Own,1
110,33,Male,4876,7,33253,26,732,4,15989,2,Married,Bachelor,Rent,1
111,34,Female,6245,14,33144,25,624,3,16901,0,Married,Bachelor,Rent,0
112,22,Female,12560,3,50000,37,850,4,30000,1,Single,High School,Own,1
113,22,Female,7061,0,41665,30,764,3,18118,0,Divorced,High School,Own,0
114,30,Male,6087,12,47644,57,808,7,25767,1,Single,High School,Own,0
115,29,Female,4100,9,1475,57,742,2,22120,3,Married,High School,Rent,0
116,35,Male,2225,0,4259,38,744,4,8438,2,Married,High School,Rent,0
117,35,Female,6354,4,45324,55,690,4,30000,3,Married,PhD,Rent,0
118,37,Female,2000,6,15790,33,676,5,9166,1,Single,Bachelor,Rent,0
119,46,Female,4691,23,37215,21,675,2,16321,3,Single,Master,Own,1
120,30,Male,8592,9,43771,45,653,2,30000,2,Single,High School,Own,1
121,37,Female,5552,17,50000,24,741,2,24292,1,Divorced,High School,Own,0
122,35,Female,8148,9,48398,51,780,3,18030,1,Married,High School,Rent,0
123,43,Female,2000,10,6369,56,780,5,10979,3,Married,High School,Rent,0
124,42,Female,2396,23,1067,29,688,2,6113,1,Divorced,Master,Own,1
125,32,Female,8552,2,44579,47,751,3,30000,1,Single,High School,Own,0
126,20,Female,3352,1,23730,60,834,5,12155,0,Married,Master,Rent,0
127,36,Male,3379,0,4920,34,755,5,19069,4,Married,High School,Rent,0
128,27,Male,8199,0,50000,18,750,3,22858,3,Divorced,Bachelor,Rent,0
129,39,Female,5540,19,34566,52,744,7,15694,2,Married,Bachelor,Rent,0
130,44,Male,5062,19,27563,15,850,3,27453,0,Married,High School,Own,0
131,34,Female,12832,10,50000,34,659,2,30000,2,Married,Bachelor,Own,0
132,41,Male,4664,10,29912,41,575,4,22995,4,Divorced,Master,Rent,0
133,34,Male,2000,15,6978,54,766,7,3480,2,Married,High School,Own,1
134,19,Female,6023,0,37034,48,618,3,27396,4,Married,Bachelor,Own,0
135,39,Female,15000,21,50000,56,740,11,30000,2,Single,High School,Own,1
136,18,Female,4616,0,37024,58,582,6,16082,2,Single,Bachelor,Own,1
137,31,Female,4743,13,20222,26,689,6,20816,1,Married,Bachelor,Rent,0
138,38,Female,4476,9,14537,47,512,4,12165,6,Married,High School,Rent,0
139,25,Female,2314,1,14973,20,455,3,11518,6,Single,Bachelor,Own,0
140,21,Female,2652,3,25826,55,769,5,4875,2,Divorced,Bachelor,Rent,0
141,19,Female,7543,0,49159,47,850,4,30000,0,Single,Bachelor,Rent,0
142,45,Male,2000,10,22000,58,850,6,9740,2,Married,Bachelor,Rent,0
143,36,Male,7617,11,49288,24,704,2,30000,2,Single,Bachelor,Rent,0
144,60,Female,12583,6,50000,23,577,4,30000,2,Single,Bachelor,Own,0
145,24,Female,2496,6,34040,17,603,6,12183,1,Married,High School,Rent,0
146,22,Male,12220,0,50000,50,711,2,30000,4,Married,High School,Own,0
147,52,Female,3649,14,23278,38,712,4,4917,3,Single,Bachelor,Rent,0
148,42,Female,4854,10,28756,37,788,3,12695,5,Married,High School,Rent,0
149,37,Male,4762,15,15765,55,807,2,21244,0,Divorced,High School,Own,0
150,49,Male,10827,29,50000,55,656,3,30000,0,Married,Bachelor,Own,0
151,37,Female,4376,4,23267,36,850,3,23135,0,Married,High School,Rent,0
152,36,Female,10978,15,50000,48,756,2,30000,3,Married,High School,Own,0
153,32,Male,7122,5,39538,40,646,6,28555,5,Married,High School,Own,0
154,18,Female,2000,0,19996,17,671,5,0,1,Married,High School,Rent,1
155,19,Male,5395,0,34883,37,777,6,24303,2,Married,Bachelor,Rent,1
156,46,Male,12071,7,50000,13,698,5,30000,4,Single,Master,Rent,0
157,31,Male,8093,4,50000,22,723,5,26671,3,Single,High School,Rent,0
158,37,Male,4452,11,16740,39,725,4,20805,4,Married,High School,Rent,1
159,41,Male,4631,8,37808,19,548,3,17679,1,Single,High School,Own,0
160,39,Male,5182,11,46407,27,597,5,30000,1,Single,High School,Rent,0
161,45,Male,7869,13,50000,46,707,5,29475,0,Married,High School,Own,0
162,62,Male,2658,22,17576,56,537,4,20287,2,Single,Bachelor,Rent,1
163,29,Female,3969,10,16387,34,555,6,14430,1,Single,High School,Own,0
164,56,Female,11111,9,50000,27,664,3,30000,0,Divorced,Bachelor,Rent,0
165,39,Male,6553,7,28028,37,721,3,25032,2,Single,Master,Own,1
166,47,Male,2874,17,6908,15,546,3,4725,2,Married,Bachelor,Rent,1
167,36,Female,5076,2,16962,32,670,6,20750,6,Married,Bachelor,Rent,0
168,19,Male,2575,1,8922,20,841,8,923,1,Divorced,Master,Rent,0
169,35,Male,7448,9,38594,53,709,4,30000,2,Married,Bachelor,Rent,0
170,34,Female,4086,11,21714,23,756,3,24333,2,Divorced,High School,Rent,1
171,40,Male,6994,18,50000,49,570,4,30000,5,Single,High School,Own,0
172,46,Male,11603,21,50000,44,628,3,30000,1,Single,High School,Own,1
173,28,Male,6894,9,28595,34,726,6,30000,2,Married,Bachelor,Rent,0
174,27,Female,11691,2,50000,21,652,4,30000,2,Single,Bachelor,Own,1
175,47,Female,6882,5,25834,58,634,5,30000,6,Single,Master,Own,0
176,18,Female,4542,0,18390,46,598,6,19245,6,Single,Bachelor,Rent,1
177,27,Female,6041,6,46347,46,745,3,20665,4,Married,Bachelor,Rent,1
178,40,Female,8653,19,43618,19,673,4,27442,2,Married,PhD,Own,1
179,18,Female,2172,0,16841,12,766,3,14328,0,Single,Bachelor,Own,1
180,30,Female,2631,11,28498,13,753,4,6580,2,Single,High School,Rent,1
181,36,Male,3176,10,26522,36,705,4,20520,4,Single,Bachelor,Own,0
182,44,Male,3952,9,11458,59,698,4,14351,2,Single,High School,Own,1
183,35,Female,3624,15,21600,31,705,4,11164,2,Married,Master,Rent,0
184,29,Male,8216,5,45053,55,701,5,30000,0,Single,High School,Rent,1
185,36,Male,4177,12,29787,51,700,4,8243,1,Single,High School,Own,0
186,21,Female,2069,0,15404,17,707,7,6718,2,Single,Bachelor,Rent,1
187,38,Female,2000,16,9098,51,789,2,13356,5,Single,Master,Rent,0
188,28,Male,8401,4,50000,38,676,3,30000,4,Single,High School,Rent,0
189,26,Female,3710,5,27396,48,691,1,19247,3,Single,High School,Rent,1
190,18,Female,6417,0,50000,22,850,6,30000,2,Married,Bachelor,Rent,1
191,25,Female,3486,6,25227,34,790,6,8311,6,Single,Bachelor,Rent,1
192,27,Male,5387,9,44788,52,788,6,21615,4,Married,Bachelor,Rent,0
193,40,Male,7438,0,50000,16,535,3,26795,4,Divorced,High School,Own,1
194,50,Female,2830,32,20476,24,741,4,744,4,Single,Bachelor,Rent,0
195,33,Male,4185,10,17302,28,647,2,14106,3,Divorced,High School,Rent,1
196,20,Male,10682,0,50000,56,667,4,30000,3,Married,Bachelor,Rent,0
197,29,Male,15000,2,50000,30,726,4,30000,2,Married,High School,Own,0
198,30,Female,5999,10,23800,34,595,4,18304,1,Divorced,Bachelor,Own,0
199,22,Female,2000,0,5443,56,724,2,6940,2,Married,High School,Rent,0
200,19,Male,8147,1,50000,25,676,2,30000,2,Married,Bachelor,Rent,0
201,25,Male,6302,3,42287,24,680,3,20966,5,Married,Master,Own,1
202,25,Male,2374,0,19756,43,738,4,14757,2,Married,Master,Rent,0
203,25,Male,5989,0,36061,35,787,5,23700,2,Single,Bachelor,Rent,1
204,31,Female,4672,9,30751,43,673,3,14695,1,Divorced,Bachelor,Own,0
205,43,Female,6609,1,38827,39,585,4,25133,0,Divorced,Bachelor,Rent,1
206,43,Male,2442,24,15317,38,703,3,11728,0,Single,High School,Rent,0
207,47,Female,11267,12,50000,25,764,3,30000,2,Married,Bachelor,Own,1
208,44,Female,4932,18,34043,24,591,6,19520,2,Married,Bachelor,Rent,1
209,32,Female,10378,4,50000,55,521,3,30000,1,Divorced,High School,Own,0
210,43,Male,4530,17,39146,36,737,3,13149,5,Single,High School,Rent,0
211,44,Male,9086,7,50000,26,693,7,30000,2,Single,High School,Rent,0
212,53,Male,2917,4,13334,42,464,2,13370,5,Divorced,Bachelor,Rent,1
213,42,Male,6002,15,23575,48,718,5,28237,1,Single,High School,Own,0
214,43,Female,11942,23,49109,36,839,5,30000,2,Married,Bachelor,Rent,0
215,29,Female,7303,10,32634,51,456,2,30000,3,Single,Bachelor,Rent,0
216,39,Male,5871,18,47569,15,446,4,19986,4,Married,Master,Rent,0
217,35,Male,3290,2,28059,21,768,3,12453,0,Single,PhD,Rent,0
218,50,Male,15000,12,50000,23,696,2,30000,4,Single,Bachelor,Own,0
219,34,Female,2119,0,10354,51,795,2,3919,5,Single,High School,Rent,1
220,34,Female,4293,0,30121,36,766,4,20213,3,Divorced,Master,Rent,1
221,28,Male,6693,7,50000,28,614,4,19106,3,Single,Bachelor,Own,1
222,29,Male,6822,2,21192,12,701,3,17699,1,Single,Master,Rent,1
223,48,Male,3621,3,29344,30,608,3,2817,2,Married,Bachelor,Rent,1
224,22,Male,5994,0,25663,16,637,3,14745,6,Single,Bachelor,Rent,1
225,24,Male,2000,5,21033,34,635,6,5125,3,Single,High School,Own,0
226,24,Male,4371,4,24393,42,829,5,8033,3,Married,Bachelor,Rent,0
227,26,Female,2000,8,14313,29,743,4,2862,0,Single,High School,Rent,1
228,39,Male,4999,6,31431,46,664,4,24300,1,Divorced,Bachelor,Rent,0
229,37,Male,7085,19,49512,28,840,4,30000,0,Married,High School,Own,0
230,34,Male,2215,13,17759,14,837,4,0,1,Divorced,Bachelor,Rent,1
231,35,Male,8065,2,50000,49,674,5,30000,3,Single,High School,Rent,0
232,24,Male,5358,4,28368,30,747,3,17552,3,Single,Bachelor,Own,1
233,20,Female,5462,0,25401,53,752,6,21666,2,Married,Bachelor,Rent,0
234,29,Male,6282,10,32941,53,639,6,15459,4,Single,Bachelor,Own,0
235,47,Female,7338,13,35326,19,694,2,29340,5,Single,Bachelor,Own,0
236,29,Female,7472,0,43399,26,841,2,29348,0,Divorced,High School,Own,0
237,35,Female,7751,13,40448,14,667,8,23400,3,Married,PhD,Own,0
238,33,Female,3128,1,29390,20,720,2,11534,1,Married,High School,Rent,0
239,39,Male,3524,3,4389,60,737,6,12429,4,Married,Master,Rent,0
