unique_id,ds,interest_rate,economic_indicator,holiday_flag,day_of_week,month,temperature,marketing_campaign
Branch_1,2025-10-03,0.04625593025758321,1.940163675724159,0,4,10,15.338197773485195,0
Branch_1,2025-10-04,0.023976734227130134,2.480523565426598,0,5,10,14.748323968892187,1
Branch_1,2025-10-05,0.02108300375515307,1.9192759218149407,1,6,10,2.9555098623126783,0
Branch_1,2025-10-06,0.04402686281080606,2.402098927123385,0,0,10,13.319477461318726,0
Branch_1,2025-10-07,0.01560940561562875,2.950403522989481,0,1,10,15.528700643703946,0
Branch_1,2025-10-08,0.04029699756141343,2.472886719210905,0,2,10,19.422894787819647,0
Branch_1,2025-10-09,0.04836571295203864,1.7321214659130826,0,3,10,11.432596109643203,0
Branch_1,2025-10-10,0.04288335143982902,2.7773989383764954,0,4,10,10.205419668933034,1
Branch_1,2025-10-11,0.03145851567574875,2.715626116696315,0,5,10,14.083308366913062,0
Branch_1,2025-10-12,0.02229625589604002,2.3633698910492864,0,6,10,8.149982601368723,0
Branch_1,2025-10-13,0.028491906612485685,2.27990937850519,0,0,10,16.05792391596167,0
Branch_1,2025-10-14,0.01878760151655698,2.407940729667666,0,1,10,-0.5303947175432882,0
Branch_1,2025-10-15,0.020720040428163708,2.6541020117379284,0,2,10,10.363523903300951,0
Branch_1,2025-10-16,0.021786195743485216,3.3735337905028446,1,3,10,16.37290389179874,0
Branch_1,2025-10-17,0.03884659762529048,2.403475405631764,0,4,10,10.187937932938095,1
Branch_1,2025-10-18,0.03912003435894406,1.8159157747105807,0,5,10,8.57704645546261,0
Branch_1,2025-10-19,0.013657122837673188,2.3261447846786325,0,6,10,17.999393645174443,0
Branch_1,2025-10-20,0.03265314514567312,2.625005567612673,0,0,10,3.0429880308528414,1
Branch_1,2025-10-21,0.019187308291117044,2.136010256354334,0,1,10,15.809534671662922,0
Branch_1,2025-10-22,0.014496637697505893,2.2225615079626526,0,2,10,18.57874499863737,1
Branch_1,2025-10-23,0.021489556132260803,2.67502970641688,0,3,10,-5.210722230548678,1
Branch_1,2025-10-24,0.02646352240167095,2.810425619681366,0,4,10,1.9753077068393914,1
Branch_1,2025-10-25,0.026248842300074255,2.183027476026876,0,5,10,11.02626594848517,0
Branch_1,2025-10-26,0.04267809980357528,2.9291320648155823,0,6,10,12.412946239056238,0
Branch_1,2025-10-27,0.04329356437015883,2.205000749299996,0,0,10,5.489460176650252,0
Branch_1,2025-10-28,0.02200963217595156,2.0020308141979384,0,1,10,15.92949986357533,0
Branch_1,2025-10-29,0.04398379425908833,2.8381445126204583,0,2,10,13.325059610203335,1
Branch_1,2025-10-30,0.026593374176399426,2.3952318193386395,1,3,10,9.553309135605033,1
Branch_1,2025-10-31,0.01099916341413778,1.8044910621940384,0,4,10,17.833307460480523,0
Branch_1,2025-11-01,0.02729535430596447,2.357746838649893,0,5,11,4.148954543220521,0
Branch_1,2025-11-02,0.042692626650233455,2.659727524466317,0,6,11,9.767537919561283,0
Branch_1,2025-11-03,0.013854204626073847,2.454165378324,0,0,11,12.707596579643628,0
Branch_1,2025-11-04,0.04048373588998188,2.362830727904831,0,1,11,10.895756938298677,0
Branch_1,2025-11-05,0.04046476868322269,2.0508078281555115,0,2,11,16.19086406198827,0
Branch_1,2025-11-06,0.01923229243538138,2.539950351106509,1,3,11,4.895228903342725,1
Branch_1,2025-11-07,0.024143387469696256,2.4815916955401645,0,4,11,-0.5573312211664003,0
Branch_1,2025-11-08,0.014256124931901232,1.456706697385467,0,5,11,18.106706698678735,0
Branch_1,2025-11-09,0.03962828079283011,3.4990544754711324,0,6,11,14.339063300506908,0
Branch_1,2025-11-10,0.028634250183549318,2.3714232406870495,1,0,11,18.954788752286078,0
Branch_1,2025-11-11,0.017363960934580466,2.5278625005552153,0,1,11,0.905327303214019,1
Branch_1,2025-11-12,0.03556352959620376,2.4487943130747007,0,2,11,13.893370674252452,0
Branch_1,2025-11-13,0.014693974978917144,2.27234150219466,0,3,11,19.608230652495212,0
Branch_1,2025-11-14,0.022281174457964938,1.8784646263754325,0,4,11,11.738215009217244,1
Branch_1,2025-11-15,0.038856134128875994,3.5055226644342294,0,5,11,14.059266130099314,0
