application_id,applicant_id,ds,applicant_age,annual_income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,vehicle_value,down_payment,vehicle_type,vehicle_model,vehicle_year,loan_term_months,interest_rate,marital_status,num_dependents,residence_type,years_employed,has_previous_auto_loan,previous_default,bank_account_balance,is_approved
1,Applicant_1,2023-01-01,58,32937.17,employed,573,0.38,12250.97,14823.81,1568.4,sedan,Nissan Altima,2011,84,7.38,single,0,own,14,0,0,10747.34,1
2,Applicant_1,2023-01-01,63,26036.05,unemployed,533,0.6,73119.25,92701.16,15045.61,truck,Ford F-150,2022,48,9.59,married,2,own,13,1,0,8975.85,0
3,Applicant_1,2023-01-03,24,37606.81,self-employed,495,0.4,86274.49,115736.41,29140.35,luxury,Porsche Panamera,2011,72,4.63,married,4,rent,36,0,0,13061.23,1
4,Applicant_1,2023-01-03,20,92918.33,unemployed,557,0.27,30510.84,37093.72,2594.63,SUV,Toyota RAV4,2016,60,7.63,married,1,rent,22,0,0,18732.82,1
5,Applicant_1,2023-01-04,62,31021.13,unemployed,594,0.41,68323.18,91802.61,8517.87,SUV,Honda CR-V,2017,72,6.16,divorced,4,own,20,0,0,10285.61,0
6,Applicant_1,2023-01-04,20,33811.57,self-employed,493,0.42,46104.83,51935.96,14452.95,electric,Nissan Leaf,2013,72,7.17,divorced,3,own,16,0,0,8315.51,0
7,Applicant_1,2023-01-07,53,66666.26,unemployed,711,0.15,33646.74,44879.19,12317.35,luxury,Audi A8,2013,48,8.08,single,0,own,9,0,0,17468.15,1
8,Applicant_1,2023-01-07,45,51461.15,unemployed,587,0.37,15717.49,19688.48,5887.45,electric,Nissan Leaf,2018,36,9.44,single,4,rent,21,0,0,12718.63,1
9,Applicant_1,2023-01-08,28,83492.07,self-employed,702,0.2,10292.08,14294.02,3286.48,electric,Tesla Model Y,2018,36,10.96,married,4,family,12,0,0,14633.25,1
10,Applicant_1,2023-01-09,28,11138.7,unemployed,443,0.52,95814.98,140749.68,39356.9,electric,Nissan Leaf,2017,36,4.89,married,2,own,3,0,0,8893.24,1
11,Applicant_1,2023-01-09,23,55458.49,employed,487,0.51,75871.68,108224.08,31871.57,electric,Tesla Model Y,2012,72,11.57,single,2,family,38,1,0,8669.0,1
12,Applicant_1,2023-01-10,66,35829.37,unemployed,614,0.38,72088.09,99854.95,14953.09,truck,Toyota Tacoma,2024,84,7.61,single,1,own,21,0,0,9716.25,1
13,Applicant_1,2023-01-10,32,89347.75,unemployed,711,0.16,29819.56,33648.31,6991.3,SUV,Toyota RAV4,2024,36,10.88,single,4,own,17,1,0,16829.21,1
14,Applicant_1,2023-01-11,64,25876.78,unemployed,578,0.42,61859.05,74057.58,12459.69,luxury,BMW 7 Series,2011,36,9.27,married,3,rent,29,0,0,7904.97,1
15,Applicant_1,2023-01-11,59,81829.96,employed,844,0.21,15455.14,21502.51,5378.81,sedan,Honda Civic,2013,48,8.29,single,3,own,17,1,0,10226.85,1
16,Applicant_1,2023-01-12,22,25428.75,self-employed,307,0.6,82722.0,119317.12,8886.4,electric,Tesla Model 3,2011,48,5.33,married,3,own,25,0,0,5133.34,0
17,Applicant_1,2023-01-12,18,22069.58,self-employed,427,0.41,33868.28,47877.15,7839.98,luxury,Porsche Panamera,2020,72,5.24,married,1,own,37,0,0,9808.65,1
18,Applicant_1,2023-01-14,21,87120.57,employed,685,0.25,62575.98,81420.12,21428.15,SUV,Toyota RAV4,2018,36,10.81,single,4,own,15,1,0,8052.47,1
19,Applicant_1,2023-01-14,54,22222.44,employed,568,0.48,62102.72,69300.21,4885.38,electric,Ford Mustang Mach-E,2018,60,11.48,single,2,own,16,1,0,7187.91,1
20,Applicant_1,2023-01-15,37,62818.97,self-employed,618,0.21,38455.95,53867.01,3670.27,luxury,Porsche Panamera,2019,36,4.59,single,4,rent,8,1,0,13898.38,1
21,Applicant_1,2023-01-17,41,111152.68,self-employed,850,0.36,24197.21,34686.66,7835.2,electric,Ford Mustang Mach-E,2010,84,6.4,divorced,0,own,16,0,0,16101.18,1
22,Applicant_1,2023-01-18,65,19101.32,unemployed,626,0.31,23990.31,29093.11,2986.62,truck,Chevrolet Silverado,2020,60,8.04,married,0,own,40,1,1,8100.46,0
23,Applicant_1,2023-01-19,39,48681.29,employed,591,0.38,67340.2,81130.27,19090.58,electric,Chevrolet Bolt,2018,36,4.89,divorced,1,family,2,1,0,10849.8,1
24,Applicant_1,2023-01-20,20,66432.73,self-employed,583,0.27,42818.64,63081.92,18486.1,sedan,Hyundai Elantra,2013,48,9.34,married,4,rent,39,0,0,12668.05,1
25,Applicant_1,2023-01-23,33,59984.37,employed,606,0.32,97858.54,139380.77,37682.16,sedan,Honda Civic,2021,60,10.26,married,1,rent,10,0,0,8149.88,1
26,Applicant_1,2023-01-24,20,34264.38,self-employed,471,0.41,30019.03,42826.19,7069.57,truck,Chevrolet Silverado,2013,36,9.28,married,2,rent,4,1,1,3179.23,0
27,Applicant_1,2023-01-28,43,94636.44,unemployed,737,0.38,98303.47,129218.57,36802.65,sedan,Hyundai Elantra,2012,84,11.7,married,0,own,38,1,1,11020.48,1
28,Applicant_1,2023-01-28,38,112844.01,self-employed,760,0.2,64558.8,84221.42,12321.5,electric,Tesla Model Y,2014,36,9.67,single,4,family,12,1,1,13203.22,0
29,Applicant_1,2023-01-29,60,64206.8,self-employed,785,0.19,66083.99,90228.1,7322.58,truck,GMC Sierra,2014,72,6.61,divorced,2,family,8,0,0,6766.38,1
30,Applicant_1,2023-01-29,42,36087.58,unemployed,509,0.3,77332.11,90448.48,17391.1,luxury,Porsche Panamera,2023,36,6.43,single,3,family,38,1,1,9194.8,0
31,Applicant_1,2023-01-30,61,24101.77,employed,583,0.32,56005.66,79387.7,23019.1,SUV,Toyota RAV4,2014,84,9.31,divorced,2,own,15,1,0,5742.34,1
32,Applicant_1,2023-01-30,27,45404.16,employed,458,0.5,14159.23,21147.87,4289.18,sedan,Ford Fusion,2016,84,5.56,divorced,3,rent,25,0,0,15541.46,0
