client_id,ds,age,gender,annual_income,credit_score,debt_to_income_ratio,loan_amount,vehicle_value,down_payment,vehicle_type,vehicle_year,annual_mileage,driving_history_accidents,location_risk,loan_term_months,interest_rate,payment_history_late,insurance_coverage_level,is_high_risk
Client_1,2023-01-01,60.0,male,66040.83,695,0.32,34774.62,44922.43,3016.09,luxury,2023,25928.0,4,urban_high,84,7.54,1,basic,0
Client_1,2023-01-02,19.0,male,25156.51,458,0.35,61671.63,83263.94,4490.78,sedan,2017,25258.0,2,rural,72,13.35,0,basic,0
Client_1,2023-01-03,32.0,female,126440.57,850,0.11,41881.24,56604.58,16036.46,luxury,2017,21845.0,4,urban_low,84,8.24,1,basic,1
Client_1,2023-01-04,48.0,male,34595.3,531,0.36,52328.22,76051.95,4022.3,SUV,2017,24112.0,3,urban_low,84,9.76,0,basic,1
Client_1,2023-01-05,62.0,male,56680.04,579,0.43,87858.38,110392.32,32376.1,truck,2019,23369.0,3,rural,72,4.17,1,basic,1
Client_1,2023-01-06,23.0,male,80006.81,569,0.14,20490.53,28730.05,4995.28,sedan,2010,5399.0,3,urban_low,72,9.23,0,comprehensive,1
Client_1,2023-01-07,47.0,female,28429.58,463,0.44,56608.09,75201.09,17870.73,truck,2013,16805.0,4,urban_high,48,7.99,0,comprehensive,1
Client_1,2023-01-08,68.0,male,33601.13,641,0.45,88925.68,125194.46,24268.68,luxury,2012,9644.0,0,rural,60,6.65,0,comprehensive,0
Client_1,2023-01-09,49.0,female,35361.2,569,0.48,76368.21,97384.38,24797.37,sports,2021,5536.0,2,rural,48,5.7,0,comprehensive,1
Client_1,2023-01-10,55.0,female,34195.44,624,0.33,91299.24,132694.4,21487.31,luxury,2013,8152.0,5,urban_high,60,11.55,0,comprehensive,0
Client_1,2023-01-11,44.0,female,34165.65,637,0.34,22661.55,31948.13,1680.98,SUV,2016,13872.0,3,rural,60,12.34,1,comprehensive,0
Client_1,2023-01-12,63.0,male,35589.67,604,0.57,84517.56,105149.52,14673.37,sedan,2016,8752.0,1,urban_low,84,12.06,0,basic,1
Client_1,2023-01-13,69.0,male,80300.16,717,0.19,63286.09,80302.85,8242.07,SUV,2017,29779.0,0,urban_low,84,13.25,0,comprehensive,0
Client_1,2023-01-14,56.0,male,259623.51,850,0.16,97206.8,143904.37,33644.39,SUV,2022,25888.0,4,rural,36,14.31,0,comprehensive,0
Client_1,2023-01-15,69.0,female,76349.74,773,0.13,55641.83,78410.58,16072.66,luxury,2014,17622.0,2,rural,60,9.15,0,comprehensive,1
Client_1,2023-01-16,21.0,female,26756.93,374,0.38,34615.89,39899.89,5521.44,SUV,2020,22613.0,3,urban_high,36,6.17,0,comprehensive,0
Client_1,2023-01-17,18.0,male,37183.36,534,0.38,72435.86,107352.69,24493.05,luxury,2024,10807.0,5,urban_high,48,4.35,0,comprehensive,1
Client_1,2023-01-18,63.0,female,24876.25,573,0.54,63036.35,71890.96,12807.66,sedan,2023,29302.0,3,urban_low,72,6.04,1,comprehensive,1
Client_1,2023-01-19,24.0,female,32658.05,513,0.3,25472.78,33580.12,6670.05,SUV,2012,20369.0,4,urban_high,72,7.73,1,basic,1
Client_1,2023-01-20,33.1,male,69513.32,682,0.32,73312.12,80866.61,13095.06,SUV,2018,25923.0,2,rural,60,4.23,0,comprehensive,1
Client_1,2023-01-21,35.1,male,29627.83,488,0.56,21350.93,25030.19,3818.19,truck,2021,9595.0,3,urban_high,36,4.45,0,comprehensive,0
Client_1,2023-01-22,18.1,female,19833.11,475,0.32,97787.23,110565.32,7953.43,sedan,2016,17991.0,1,urban_high,36,5.84,0,comprehensive,0
Client_1,2023-01-23,59.1,male,25240.35,497,0.52,40530.67,52109.44,4569.74,sedan,2011,7308.0,2,urban_low,36,10.67,1,comprehensive,1
Client_1,2023-01-24,57.1,female,80892.57,760,0.24,72435.55,92855.85,10814.5,SUV,2023,20263.0,5,urban_low,72,4.89,0,basic,1
Client_1,2023-01-25,36.1,female,60899.58,583,0.33,13390.3,17532.22,4247.45,luxury,2021,25655.0,4,urban_low,48,13.48,0,basic,0
Client_1,2023-01-26,31.1,female,120241.87,826,0.25,37036.03,42524.43,11806.16,sedan,2022,6433.0,3,urban_high,36,8.83,1,comprehensive,1
Client_1,2023-01-27,20.1,female,10179.72,434,0.31,72327.56,108407.06,18285.19,sports,2017,26478.0,0,rural,72,10.0,1,basic,0
