unique_id,ds,y,temperature,holiday_flag,day_of_week,month,is_weekend,marketing_campaign,economic_indicator,interest_rate,local_event
Branch_1,2015-01-01,95,9.8,0,3,1,0,0,60.02,2.04,0
Branch_1,2015-01-02,156,20.4,0,4,1,0,0,48.02,2.99,0
Branch_1,2015-01-03,116,20.8,0,5,1,1,0,55.7,3.18,0
Branch_1,2015-01-04,125,18.1,0,6,1,1,0,61.21,4.79,0
Branch_1,2015-01-05,145,23.1,0,0,1,0,0,62.97,3.79,0
Branch_1,2015-01-06,103,15.8,0,1,1,0,0,50.14,4.59,0
Branch_1,2015-01-07,86,14.1,0,2,1,0,0,48.58,5.18,0
Branch_1,2015-01-08,85,18.8,0,3,1,0,0,69.33,3.27,0
Branch_1,2015-01-09,173,29.7,0,4,1,0,0,61.85,2.99,0
Branch_1,2015-01-10,127,17.2,0,5,1,1,0,34.95,4.93,0
Branch_1,2015-01-11,123,21.6,0,6,1,1,0,39.88,5.61,0
Branch_1,2015-01-12,148,28.7,0,0,1,0,1,44.94,3.08,0
Branch_1,2015-01-13,107,27.1,0,1,1,0,0,46.58,4.95,0
Branch_1,2015-01-14,103,25.4,0,2,1,0,1,57.67,2.32,0
Branch_1,2015-01-15,130,27.3,0,3,1,0,1,49.72,2.92,0
Branch_1,2015-01-16,229,26.8,0,4,1,0,0,52.95,2.66,1
Branch_1,2015-01-17,161,17.7,0,5,1,1,0,50.64,2.0,0
Branch_1,2015-01-18,56,25.4,1,6,1,1,0,48.52,4.91,0
Branch_1,2015-01-19,133,15.6,0,0,1,0,0,61.19,2.2,0
Branch_1,2015-01-20,96,19.8,0,1,1,0,1,31.23,4.89,0
Branch_1,2015-01-21,106,24.4,0,2,1,0,1,66.14,3.55,0
Branch_1,2015-01-22,119,17.1,0,3,1,0,0,44.71,5.79,0
Branch_1,2015-01-23,138,19.2,0,4,1,0,0,50.78,4.84,0
Branch_1,2015-01-24,194,24.2,0,5,1,1,0,48.78,4.18,0
Branch_1,2015-01-25,148,29.9,0,6,1,1,0,36.4,4.46,0
Branch_1,2015-01-26,126,21.5,0,0,1,0,0,67.35,5.08,0
