unique_id,ds,deposits,withdrawals,net_cash_flow,interest_rate,economic_indicator,holiday_flag,day_of_week,month,temperature,marketing_campaign
Branch_1,2020-01-01,6063,4436,1627,0.0397,1.84,0,2,1,19.0,0
Branch_1,2020-01-02,6815,5036,1779,0.0296,2.19,0,3,1,17.4,0
Branch_1,2020-01-03,7293,6277,1016,0.028,3.05,0,4,1,17.3,0
Branch_1,2020-01-04,5630,4623,1007,0.0477,2.67,0,5,1,24.4,0
Branch_1,2020-01-05,3486,2700,786,0.0346,2.95,0,6,1,15.3,0
Branch_1,2020-01-06,4188,3271,917,0.0276,1.88,0,0,1,24.2,0
Branch_1,2020-01-07,3971,3765,206,0.0292,2.12,0,1,1,20.0,0
Branch_1,2020-01-08,5636,3730,1906,0.0386,2.61,0,2,1,26.0,1
Branch_1,2020-01-09,8768,6928,1840,0.0406,3.4,0,3,1,19.6,1
Branch_1,2020-01-10,8700,7254,1446,0.0236,3.31,0,4,1,18.0,0
Branch_1,2020-01-11,6162,5856,306,0.0248,2.92,0,5,1,30.9,1
Branch_1,2020-01-12,3844,2119,1725,0.0345,2.59,0,6,1,23.0,1
Branch_1,2020-01-13,3901,3219,682,0.0116,3.51,0,0,1,25.5,0
Branch_1,2020-01-14,4417,2705,1712,0.0343,2.58,0,1,1,25.8,0
Branch_1,2020-01-15,5769,4811,958,0.0196,2.29,0,2,1,30.1,0
Branch_1,2020-01-16,7561,4937,2624,0.0439,1.74,0,3,1,19.5,0
Branch_1,2020-01-17,8343,7596,747,0.0285,2.89,0,4,1,26.4,1
Branch_1,2020-01-18,5974,4794,1180,0.0377,3.17,0,5,1,28.0,0
Branch_1,2020-01-19,5518,3984,1534,0.0406,3.09,0,6,1,30.5,1
Branch_1,2020-01-20,5112,3131,1981,0.0063,1.86,1,0,1,17.1,0
Branch_1,2020-01-21,2973,1898,1075,0.0389,3.13,0,1,1,21.8,0
Branch_1,2020-01-22,7297,4588,2709,0.0456,2.16,0,2,1,9.4,0
Branch_1,2020-01-23,9908,7236,2672,0.0386,1.95,0,3,1,31.6,0
Branch_1,2020-01-24,8800,5199,3601,0.0429,2.65,0,4,1,33.6,0
Branch_1,2020-01-25,7819,6218,1601,0.0474,1.15,0,5,1,26.3,0
Branch_1,2020-01-26,6206,5050,1156,0.0074,1.99,0,6,1,26.1,0
Branch_1,2020-01-27,7290,4914,2376,0.0146,2.17,0,0,1,32.5,1
Branch_1,2020-01-28,3281,3115,166,0.0378,2.7,0,1,1,27.4,1
Branch_1,2020-01-29,9056,5626,3430,0.0385,2.0,0,2,1,21.2,0
Branch_1,2020-01-30,10514,5851,4663,0.0243,2.55,0,3,1,31.0,0
Branch_1,2020-01-31,8185,5330,2855,0.0325,3.02,1,4,1,18.6,0
Branch_1,2020-02-01,8426,6622,1804,0.0203,2.57,0,5,2,27.6,0
Branch_1,2020-02-02,6623,4246,2377,0.0332,3.03,0,6,2,26.0,0
Branch_1,2020-02-03,6003,3067,2936,0.0012,2.61,1,0,2,26.7,0
Branch_1,2020-02-04,4406,3589,817,0.0196,2.66,0,1,2,25.3,0
Branch_1,2020-02-05,6809,4387,2422,0.0348,1.84,1,2,2,22.6,0
Branch_1,2020-02-06,8923,8039,884,0.054,2.1,0,3,2,29.7,0
Branch_1,2020-02-07,10129,6350,3779,0.029,3.59,0,4,2,31.1,1
Branch_1,2020-02-08,7607,4945,2662,0.0361,2.44,1,5,2,23.5,0
Branch_1,2020-02-09,5522,4996,526,0.0407,2.35,0,6,2,27.3,0
Branch_1,2020-02-10,5307,4753,554,0.0025,2.19,0,0,2,26.6,0
Branch_1,2020-02-11,6618,5452,1166,0.0177,1.76,1,1,2,30.0,1
Branch_1,2020-02-12,6507,4622,1885,0.041,2.67,0,2,2,23.3,0
Branch_1,2020-02-13,9303,6502,2801,0.0367,1.59,0,3,2,35.0,1
Branch_1,2020-02-14,10791,8953,1838,0.0549,2.81,0,4,2,33.7,1
Branch_1,2020-02-15,8544,6919,1625,0.0371,2.2,1,5,2,35.2,0
Branch_1,2020-02-16,7408,4895,2513,0.0113,2.44,0,6,2,19.6,1
Branch_1,2020-02-17,5128,3967,1161,0.0295,2.52,0,0,2,34.0,0
Branch_1,2020-02-18,7293,6443,850,0.0043,2.17,0,1,2,32.4,0
Branch_1,2020-02-19,7496,5161,2335,0.019,1.68,0,2,2,29.2,0
Branch_1,2020-02-20,9235,7279,1956,0.026,2.57,0,3,2,33.3,0
Branch_1,2020-02-21,9494,6602,2892,0.0521,2.12,0,4,2,32.9,0
Branch_1,2020-02-22,8459,5981,2478,0.0459,2.32,0,5,2,31.7,0
Branch_1,2020-02-23,9307,7614,1693,0.0176,2.38,0,6,2,21.6,0
