customer_id,age,gender,annual_income,account_balance,num_transactions,avg_transaction_amount,credit_score,num_loans,num_cards,has_savings_account,has_investment,loyalty_score,region,preferred_channel
1,47,Male,32680,8299,31,52.368043617477376,653,2,3,1,1,79,South,Branch
2,37,Female,53874,41314,25,197.6574636697924,644,0,2,0,0,73,East,Branch
3,49,Male,86930,43567,28,50.0,674,1,4,1,0,80,West,Branch
4,62,Female,34228,24224,23,50.0,760,4,3,1,0,85,South,App
5,36,Male,29399,19760,30,228.74423195517346,706,3,2,0,0,74,South,App
6,36,Female,35081,32995,21,92.18782624163104,669,2,2,1,1,72,East,Branch
7,63,Female,22119,6809,27,102.83309481642405,618,1,1,0,1,86,South,App
8,51,Male,21421,6387,33,123.18326238785532,830,1,2,0,0,82,West,Branch
9,32,Male,29083,28543,36,50.0,599,1,1,0,0,73,North,Branch
10,48,Female,42367,7750,25,50.0,631,0,2,0,0,79,East,Online
11,33,Female,24839,17889,40,50.0,678,2,3,1,0,74,North,Branch
12,33,Female,25587,6553,38,50.0,676,2,1,1,0,74,East,App
13,43,Female,34556,20747,32,67.36338107165143,695,0,3,0,0,77,West,App
14,18,Male,56801,51763,38,50.0,579,1,5,0,0,66,South,Branch
15,18,Male,74556,15252,36,50.0,745,1,1,1,0,66,North,Branch
16,31,Male,23088,11577,27,50.0,662,3,5,1,0,70,West,Online
17,24,Male,75243,43139,42,50.0,774,1,4,0,0,70,South,App
18,44,Female,28509,11806,23,212.79894080452482,647,3,3,1,0,76,West,App
19,26,Male,91365,12996,46,76.57928428157095,676,1,5,0,0,72,East,ATM
20,18,Male,60753,43632,36,50.0,653,3,2,0,1,66,East,App
21,61,Male,30635,17573,33,50.0,679,2,2,1,0,87,North,App
22,36,Female,24141,5273,21,74.3830221500478,716,0,1,0,1,72,West,Online
23,41,Male,24171,19132,24,50.0,698,3,4,0,0,75,West,ATM
24,18,Female,22436,21883,29,168.6981434944307,719,0,1,1,0,64,East,Branch
25,31,Female,91666,58998,41,267.5014545113378,712,0,2,0,0,73,South,App
26,41,Female,33982,5840,28,149.85150333084266,655,1,1,1,0,76,East,App
27,22,Female,20000,2084,42,50.0,724,2,5,1,0,69,East,App
28,45,Male,20000,19340,43,56.95174656967629,633,1,5,0,0,81,South,App
29,30,Male,39486,19248,33,50.0,639,5,3,0,0,71,West,App
30,35,Female,28492,24320,33,50.0,592,0,4,0,0,74,North,App
31,30,Male,71009,63745,32,50.0,628,0,4,0,0,71,East,Branch
32,67,Female,30496,12669,26,154.16157646186326,638,2,4,0,0,88,South,Online
33,39,Female,32551,31883,28,81.19844094931781,763,2,2,0,0,75,North,Online
34,24,Male,35764,12854,37,50.0,719,2,5,1,0,69,East,Branch
35,52,Male,51544,10973,26,85.25820378475319,708,2,2,1,0,81,East,App
36,21,Female,41554,24148,45,50.0,692,1,4,1,0,69,North,Branch
37,43,Female,55003,44576,37,50.0,805,2,0,1,0,78,East,App
38,18,Female,80293,67680,33,118.26955997022691,687,2,5,0,1,65,South,App
39,20,Female,27243,18863,36,50.0,716,5,5,1,0,67,North,Online
40,42,Female,34029,10813,35,50.0,673,1,1,0,0,78,West,Branch
41,51,Male,43746,23617,28,50.0,656,0,3,0,0,81,West,Branch
42,42,Male,60214,18646,32,89.77090046935383,657,1,1,1,0,77,South,Branch
43,38,Female,62735,30781,27,50.0,642,2,3,0,0,74,East,Branch
44,35,Other,67438,27148,25,74.25444185023939,717,2,4,0,1,72,North,App
45,18,Other,21957,17055,37,50.0,658,2,3,0,0,66,West,Branch
46,29,Female,41442,5543,37,111.88597033046325,587,3,2,1,0,71,West,Branch
47,33,Male,20000,5212,27,137.17825919872976,690,1,3,0,0,71,North,ATM
48,55,Female,36950,33370,29,50.0,596,2,2,1,0,83,South,App
49,45,Male,63314,22987,29,130.21243879562994,701,1,3,0,0,78,North,Online
50,18,Male,20000,10684,46,50.0,667,2,4,0,0,68,East,App
51,44,Female,48209,15109,25,96.80314461019066,629,3,0,0,0,77,East,Online
52,34,Male,31099,27813,38,69.30500290788846,670,0,3,0,0,74,East,Branch
53,29,Male,46127,32709,30,50.0,644,0,2,0,0,70,West,Branch
54,49,Female,37450,8831,24,85.94379001787905,717,1,1,1,0,79,West,Branch
55,55,Female,38566,37020,24,53.39742515786365,685,1,3,0,0,82,East,Online
56,53,Female,29798,11791,26,50.0,712,0,1,1,1,81,North,Branch
57,27,Female,42564,18358,23,91.72976700758714,646,2,5,1,0,68,North,Online
58,35,Male,48431,8867,45,50.0,610,0,3,1,0,76,South,App
59,44,Male,33052,24087,21,73.74069216009832,657,0,4,0,0,76,East,Online
60,54,Female,20000,4090,37,50.0,679,1,2,1,0,84,East,ATM
61,32,Female,46923,22822,43,50.0,703,2,4,1,0,74,West,App
62,37,Female,93267,71708,28,155.3336122823416,773,3,5,0,0,74,North,App
63,23,Female,31452,14199,38,50.0,645,1,2,1,0,69,North,App
64,22,Male,28298,23000,51,77.17508938578513,690,2,5,0,0,71,West,App
65,52,Female,52354,27400,25,119.90653383062889,667,2,3,0,0,81,West,App
66,60,Male,23410,6216,19,50.0,680,2,3,1,0,83,South,Online
67,38,Female,33409,14170,33,50.0,757,0,2,0,0,75,North,App
68,55,Male,29947,7847,26,242.88617433840645,685,4,2,0,0,82,North,App
69,45,Male,35722,13345,21,78.32104074883887,621,1,4,0,0,76,West,Branch
70,30,Male,28999,5624,37,50.0,638,2,3,0,0,72,West,App
71,45,Female,39142,25887,31,50.0,692,2,2,0,1,78,South,App
72,63,Female,46961,6929,20,50.0,641,2,1,0,0,85,West,App
73,39,Male,45337,36216,38,50.0,644,0,1,0,0,77,East,Branch
74,63,Male,52286,48104,23,50.0,626,1,1,0,0,86,North,App
75,18,Male,60782,59730,33,222.45945680402824,691,3,3,0,0,65,North,Online
76,52,Female,65839,48501,24,52.14216904846726,714,0,2,0,0,80,East,Online
77,41,Female,32974,28069,31,50.0,675,1,2,1,0,76,West,Online
78,35,Male,20000,11324,31,50.0,691,1,1,0,0,73,North,App
79,41,Male,32808,32396,30,50.0,612,3,1,1,0,76,East,App
80,18,Female,27558,4663,43,71.57021656944328,785,2,2,1,0,67,West,Branch
81,36,Female,21702,7780,25,50.0,701,3,5,0,0,73,South,App
82,45,Male,59847,48765,30,80.64704968074449,656,0,4,1,0,78,East,Online
83,62,Female,42306,27000,22,50.0,609,4,2,0,0,85,East,App
84,32,Female,21865,19346,33,50.0,751,1,2,0,0,72,West,Online
85,27,Male,94965,20280,30,59.50586881093878,808,0,5,0,0,69,South,App
86,32,Male,63994,31863,31,50.0,692,0,4,0,0,72,West,App
87,53,Male,49099,36396,28,50.0,653,1,3,0,0,82,South,App
88,44,Male,40929,8303,27,50.0,625,1,1,1,0,77,East,Online
89,32,Female,35429,32119,41,51.06431053810647,660,3,0,0,1,74,South,App
90,47,Female,41451,12712,24,50.0,681,1,1,0,0,78,North,App
91,41,Female,30375,9097,34,50.0,727,1,3,0,1,77,West,App
92,54,Male,21891,4621,20,50.0,640,1,2,1,0,81,North,Branch
93,29,Male,24789,15148,33,50.0,698,1,3,0,0,71,West,ATM
94,35,Female,20000,9849,37,50.0,648,2,2,0,0,74,North,Online
95,34,Female,40187,4983,38,111.99321543158449,673,0,2,1,0,74,East,ATM
96,18,Male,48714,32553,39,50.0,608,2,3,1,1,66,East,Online
97,44,Male,20000,2924,25,50.0,712,1,2,1,0,77,East,Online
98,43,Female,42209,18446,40,216.37982538179645,724,0,1,1,0,79,East,App
99,40,Male,64217,58916,33,50.0,683,0,5,1,1,76,West,App
100,36,Male,63228,59400,25,169.93572011994155,599,0,5,1,0,73,East,Online
101,18,Female,102329,44762,35,287.1769323969731,730,1,1,1,0,66,South,ATM
102,33,Male,22734,16806,25,50.0,757,1,1,1,0,71,North,App
103,34,Female,30613,5206,23,50.0,630,1,5,0,0,71,East,Online
104,27,Female,30001,16794,31,50.0,688,2,4,0,1,69,East,Branch
105,37,Female,41060,18957,22,96.09107791656487,738,1,1,0,0,72,South,ATM
106,46,Male,45220,29486,22,131.7641638774322,716,1,4,0,0,77,North,Online
107,68,Male,20000,8217,27,50.0,708,1,3,1,0,89,South,Branch
108,42,Other,54228,25019,26,50.0,610,0,1,1,0,76,North,Online
109,43,Female,37834,37572,33,50.0,676,1,3,0,1,78,West,Online
110,38,Male,54244,9139,33,50.0,618,1,2,0,0,75,West,App
111,18,Male,59808,49431,41,50.0,709,0,2,0,0,67,East,Online
112,39,Male,20000,13672,40,50.0,693,4,0,1,0,77,North,Branch
113,40,Female,40770,38258,32,50.0,789,2,3,0,0,76,West,Online
114,76,Female,20000,11179,16,153.54338837807248,656,3,1,1,1,91,East,Branch
115,37,Female,72097,56926,38,50.0,705,0,3,0,1,76,North,App
116,44,Female,57802,17443,20,50.0,607,0,3,1,0,76,East,App
117,39,Female,24700,5461,29,113.04264778354181,761,1,0,1,0,75,East,App
118,22,Other,32446,25410,47,159.40410820664627,759,1,2,0,1,70,North,Online
119,57,Female,26898,26015,26,278.7163504968306,694,2,1,1,0,83,South,App
120,51,Female,63019,25660,29,50.0,653,0,3,1,0,81,West,App
121,51,Male,24653,18426,36,92.87494536011408,694,2,2,0,0,82,North,App
122,26,Female,20000,12812,39,74.67326866092039,762,1,1,0,1,70,North,ATM
123,61,Male,20000,17467,23,151.96023280827424,711,0,3,1,0,85,West,Online
124,18,Female,29658,19631,29,50.0,683,2,0,0,0,64,South,App
125,48,Female,21786,14109,24,82.43118016797195,681,1,2,0,0,78,North,App
126,72,Male,26778,6765,12,50.0,755,1,2,1,0,88,East,Branch
127,25,Male,84752,31165,43,93.87643202403,619,2,2,1,0,71,West,App
128,31,Male,20000,8936,33,50.0,659,2,4,0,0,72,West,App
129,41,Male,42007,39350,35,215.67287251609292,722,2,4,0,0,77,North,Online
130,32,Female,60790,10015,32,50.0,627,1,4,0,0,72,North,App
131,18,Male,24461,18321,31,50.0,635,2,3,0,0,65,East,ATM
132,41,Male,45743,44791,38,50.0,677,3,5,0,0,78,East,Online
133,24,Female,29407,22497,51,50.0,765,2,2,1,0,72,South,App
134,47,Male,52356,31575,27,56.315604735841205,656,0,2,1,0,78,North,ATM
135,26,Male,20193,6501,34,50.0,698,0,5,0,0,69,East,App
136,63,Female,39425,19178,22,117.85145535363883,645,1,2,0,0,85,South,Online
137,28,Male,20000,5472,40,152.8590483782664,677,2,0,1,0,72,South,Online
138,35,Male,54536,39848,25,50.0,668,1,5,0,0,72,East,App
139,52,Female,28853,20882,23,50.0,735,1,5,0,0,80,East,App
140,21,Male,160345,50509,40,159.40008402552397,634,1,5,0,0,68,West,App
141,43,Male,20000,19909,26,50.0,663,3,3,0,0,76,West,Online
142,59,Female,29189,7305,29,50.0,724,0,1,0,0,85,North,Branch
143,18,Male,44441,43105,42,50.0,702,2,5,0,0,67,West,Online
144,42,Female,33301,18671,31,73.75449493884402,608,2,4,0,0,77,West,Online
145,43,Male,20000,17895,31,50.0,743,3,0,0,0,77,West,Online
146,51,Male,30878,19234,26,50.0,646,3,2,0,0,80,East,Branch
147,21,Female,24487,16261,45,50.0,696,0,2,0,0,69,North,Branch
148,20,Male,36578,21698,35,90.13826131969158,713,0,3,1,1,67,East,Branch
149,47,Male,83248,24983,29,230.9174061079487,732,1,4,0,0,79,West,App
150,44,Male,23168,19433,28,50.0,696,1,3,0,0,77,South,App
151,43,Female,87836,22863,31,168.383800487573,699,4,4,0,1,77,South,Online
152,45,Female,34401,5353,31,50.0,706,1,2,1,0,78,West,Branch
153,29,Male,22561,12245,27,50.0,612,1,2,0,0,69,North,App
154,43,Male,42770,36369,22,50.0,679,1,0,0,0,75,North,Online
155,44,Female,45113,18222,28,50.0,726,2,1,0,0,77,West,Online
156,29,Female,59741,40923,27,93.95779382237492,739,1,5,0,0,69,North,Branch
157,67,Female,93727,61626,13,50.0,632,0,2,1,1,86,East,Online
158,47,Female,36498,19208,31,50.0,597,1,2,0,0,79,East,Branch
159,22,Male,47512,22709,37,348.7148787755459,693,2,2,0,1,68,West,App
160,49,Male,44384,4681,38,283.2449756779149,725,3,1,0,0,82,East,Branch
161,25,Female,20000,17462,29,50.0,653,1,2,1,0,68,North,Branch
162,51,Male,39777,17124,28,50.0,658,2,3,0,1,81,West,Online
163,57,Female,90861,79848,21,347.02804474811865,733,0,5,0,0,82,East,App
164,27,Female,44628,6590,37,95.40674502037417,746,1,0,0,1,70,South,Branch
165,54,Male,20000,10734,25,50.0,731,0,5,0,0,82,North,App
166,46,Male,54063,38031,33,50.0,680,1,3,0,0,79,East,Branch
167,52,Male,115845,63018,26,59.00483200976525,665,1,5,1,1,81,East,Branch
168,68,Female,23519,13398,24,56.55812540417379,704,1,4,0,0,88,East,App
169,36,Male,35345,14872,31,71.17112908308532,692,2,1,0,0,74,West,ATM
170,28,Male,25811,4046,35,204.29939978358945,627,2,2,0,0,71,West,App
171,26,Male,20000,16763,27,50.0,774,1,3,0,0,68,South,App
172,27,Female,22286,12113,34,50.0,718,1,0,1,0,70,West,Branch
173,38,Female,47161,38682,33,50.0,605,2,3,0,0,75,South,Online
174,45,Male,70763,46801,32,50.0,720,1,4,0,0,78,East,Online
175,44,Female,32015,23623,34,137.8735329516853,665,4,3,1,1,78,East,Online
176,52,Male,20000,15135,21,127.41363189334795,658,1,3,0,1,80,South,App
177,40,Male,32452,3633,26,218.83669241448706,671,1,4,1,0,75,North,Online
