client_id,age,income,credit_score,debt_to_income_ratio,num_bank_products,tenure_years,digital_usage_score,satisfaction_score,previous_insurance,family_size,employment_stability,region,marketing_exposure,complaints,life_events,buy_insurance
1,57,99390,850,0.6,4,14,2,5,0,5,Unstable,Urban,3,1,Child Birth,1
2,60,38413,710,0.31,2,9,6,7,0,5,Unstable,Urban,0,0,Home Purchase,0
3,69,61722,786,0.35,3,14,9,1,1,3,Stable,Urban,4,0,Home Purchase,1
4,47,77804,745,0.48,1,3,3,2,1,5,Unstable,Urban,2,2,Marriage,1
5,69,54265,769,0.42,3,13,4,4,1,4,Unstable,Rural,0,2,Child Birth,1
6,69,63746,622,0.52,1,14,9,9,0,2,Unstable,Suburban,4,1,Marriage,1
7,58,60273,720,0.34,4,17,9,8,0,3,Stable,Suburban,2,2,Child Birth,0
8,33,22963,693,0.59,3,3,5,9,0,3,Unstable,Urban,0,0,Marriage,0
9,48,51383,628,0.5,2,15,9,4,0,5,Stable,Urban,3,1,Home Purchase,0
10,32,60309,792,0.3,4,2,5,7,1,1,Unstable,Suburban,1,1,Child Birth,0
11,31,62578,498,0.29,3,10,5,3,0,5,Unstable,Suburban,1,0,Marriage,0
12,60,20000,834,0.56,1,15,7,8,0,1,Stable,Suburban,3,1,None,0
13,42,78842,478,0.44,4,19,6,7,0,5,Unstable,Urban,1,1,Marriage,0
14,27,63237,684,0.41,1,12,7,8,0,1,Unstable,Urban,0,0,Marriage,0
15,52,33615,794,0.48,5,17,2,9,1,1,Unstable,Rural,3,0,Child Birth,0
16,30,104976,581,0.38,2,16,9,6,1,4,Stable,Rural,3,1,None,1
17,68,51335,742,0.18,1,8,6,4,0,4,Unstable,Rural,1,0,Home Purchase,0
18,68,52958,731,0.26,3,5,9,3,1,4,Unstable,Rural,1,2,Marriage,0
19,45,76042,732,0.38,5,15,1,3,0,5,Unstable,Suburban,3,2,Home Purchase,1
20,52,107100,665,0.11,4,8,2,6,1,2,Stable,Rural,0,2,Child Birth,0
21,64,77025,653,0.32,3,18,7,8,0,4,Stable,Rural,4,1,Marriage,0
22,25,80652,542,0.48,4,8,2,8,0,3,Stable,Rural,0,0,Marriage,1
23,60,34959,689,0.18,5,19,6,8,0,2,Stable,Rural,0,1,None,0
24,45,62173,791,0.13,3,17,2,9,1,3,Stable,Urban,4,0,Child Birth,0
25,67,46693,654,0.52,1,4,5,1,0,4,Stable,Urban,0,0,None,0
26,59,77603,659,0.41,3,4,6,7,0,3,Stable,Suburban,0,1,Marriage,0
27,37,79924,850,0.19,2,9,7,9,1,5,Stable,Urban,3,2,Child Birth,0
28,34,100830,683,0.5,1,14,1,2,0,3,Unstable,Suburban,4,1,Child Birth,1
29,68,20000,735,0.43,2,1,2,4,1,2,Unstable,Rural,4,1,None,0
30,34,44235,753,0.27,3,9,2,6,0,4,Stable,Rural,0,1,Child Birth,0
31,37,92506,683,0.29,3,13,1,4,0,3,Stable,Rural,2,2,Marriage,0
32,61,24961,768,0.18,4,18,3,9,1,3,Stable,Rural,4,1,Marriage,0
33,62,80141,798,0.52,3,10,6,1,0,3,Unstable,Urban,1,2,Marriage,1
34,48,88350,790,0.35,1,4,9,9,0,3,Unstable,Urban,4,2,Home Purchase,1
35,26,59291,801,0.38,2,15,3,1,0,2,Stable,Urban,1,1,Home Purchase,0
36,46,24463,491,0.54,5,4,3,1,0,1,Stable,Suburban,1,2,Marriage,1
37,41,56962,582,0.11,2,11,2,5,1,5,Unstable,Suburban,1,2,Child Birth,0
38,60,96467,648,0.13,4,12,2,1,0,4,Stable,Suburban,4,2,Child Birth,0
39,38,98475,620,0.18,5,13,7,9,0,1,Stable,Suburban,4,0,Home Purchase,0
40,34,65197,627,0.12,5,2,4,6,0,5,Stable,Rural,3,2,None,0
41,59,35569,788,0.43,3,8,6,9,0,3,Unstable,Rural,3,1,Home Purchase,0
42,49,103459,710,0.42,4,4,8,5,1,1,Unstable,Urban,1,0,Child Birth,1
43,27,80523,686,0.21,4,9,5,6,0,5,Stable,Rural,3,2,Home Purchase,1
44,62,37212,677,0.17,3,2,3,2,0,5,Unstable,Urban,2,1,Marriage,0
45,41,68562,659,0.17,1,5,2,9,0,1,Unstable,Suburban,3,2,None,1
46,36,67418,675,0.58,3,5,6,3,1,3,Unstable,Rural,1,1,Child Birth,0
47,48,44080,838,0.45,4,4,8,5,0,3,Stable,Rural,0,2,Home Purchase,0
48,53,68702,523,0.39,5,19,4,8,0,4,Unstable,Rural,2,2,None,0
49,67,87654,827,0.26,1,9,2,5,1,5,Unstable,Rural,4,1,Marriage,1
50,49,52593,850,0.32,4,12,3,4,1,4,Unstable,Urban,2,0,Marriage,0
51,60,90206,826,0.14,4,3,3,4,0,3,Unstable,Suburban,0,1,Home Purchase,0
52,50,20000,601,0.6,3,5,9,5,1,5,Unstable,Suburban,0,0,None,1
53,62,115456,651,0.48,2,2,4,3,0,4,Stable,Urban,1,2,Marriage,0
54,25,61433,803,0.41,4,13,6,4,0,4,Stable,Urban,0,2,Home Purchase,0
55,44,86825,675,0.39,2,7,9,5,1,4,Unstable,Rural,4,2,Child Birth,1
56,52,65465,649,0.35,1,8,8,4,0,5,Unstable,Suburban,2,2,Child Birth,1
57,40,39411,689,0.23,5,11,9,3,0,2,Stable,Rural,2,0,Child Birth,1
58,41,59090,587,0.21,2,12,6,1,0,2,Stable,Rural,2,0,Marriage,0
59,64,20000,686,0.37,2,18,2,2,0,3,Unstable,Rural,3,2,Child Birth,0
60,52,77209,579,0.14,2,18,5,9,0,5,Unstable,Suburban,2,2,Child Birth,0
61,36,64844,772,0.14,2,16,3,2,0,5,Stable,Rural,0,1,Marriage,0
62,51,55211,615,0.38,2,6,3,2,0,1,Stable,Rural,3,1,Home Purchase,0
63,66,78817,705,0.56,1,18,1,5,0,4,Stable,Rural,2,0,Marriage,0
64,54,60938,655,0.56,4,17,4,9,0,3,Stable,Rural,2,0,Child Birth,0
65,65,75170,738,0.11,5,18,7,3,0,5,Unstable,Urban,3,1,Child Birth,0
66,58,84057,782,0.15,4,3,3,9,0,1,Unstable,Urban,1,1,None,0
