application_id,applicant_id,ds,applicant_age,annual_income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,loan_purpose,marital_status,num_dependents,residence_type,years_at_current_address,years_employed,has_previous_loan,previous_loan_default,bank_account_balance,is_approved
1,Applicant_1,2023-01-01,58,26072.36,employed,549,0.43,10166.06,home,divorced,2,own,7,8,0,0,3552.63,1
2,Applicant_1,2023-01-01,52,24855.55,employed,558,0.8,1536.64,personal,single,0,own,6,14,0,0,4401.39,0
3,Applicant_1,2023-01-03,63,67407.26,self-employed,644,0.37,70.24,personal,single,3,family,8,0,0,0,10221.05,1
4,Applicant_1,2023-01-03,39,106869.56,unemployed,847,0.13,410.42,car,single,2,own,2,24,0,0,12018.71,1
5,Applicant_1,2023-01-04,40,33906.25,self-employed,603,0.79,18528.69,education,single,5,rent,17,7,1,0,5001.17,0
6,Applicant_1,2023-01-04,58,29103.07,self-employed,586,0.55,9745.0,education,divorced,1,family,2,2,0,0,5341.8,1
7,Applicant_1,2023-01-07,23,20986.27,employed,405,0.66,1333.76,home,married,2,rent,20,23,0,0,5195.16,0
8,Applicant_1,2023-01-07,31,44981.49,self-employed,422,0.72,17219.74,education,divorced,5,family,2,38,0,0,7371.47,0
9,Applicant_1,2023-01-08,33,40248.38,employed,462,0.65,1166.28,personal,married,2,family,17,14,1,0,5502.38,0
10,Applicant_1,2023-01-09,20,36552.94,unemployed,503,0.43,13369.46,personal,married,0,own,18,20,0,0,5807.72,1
11,Applicant_1,2023-01-09,43,26884.4,self-employed,474,0.65,3508.93,personal,single,2,own,7,35,1,1,4794.2,0
12,Applicant_1,2023-01-10,43,57545.62,unemployed,612,0.44,10732.12,car,single,4,rent,2,3,0,0,9543.16,0
13,Applicant_1,2023-01-10,28,48216.04,self-employed,540,0.79,679.89,personal,divorced,0,rent,12,38,1,1,5727.66,0
14,Applicant_1,2023-01-11,18,8606.49,self-employed,341,0.8,405.41,home,divorced,4,rent,20,21,0,0,2835.36,0
15,Applicant_1,2023-01-11,28,71081.62,unemployed,592,0.39,5581.3,home,divorced,5,rent,16,11,0,0,7221.63,1
16,Applicant_1,2023-01-12,37,113172.96,self-employed,809,0.2,4787.85,car,single,2,own,17,33,0,0,13376.58,1
17,Applicant_1,2023-01-12,49,57254.19,employed,638,0.27,20963.07,home,married,2,own,1,15,0,0,6381.9,0
18,Applicant_1,2023-01-14,49,55551.19,employed,654,0.19,194056.97,car,single,5,rent,17,10,1,1,7523.93,1
19,Applicant_1,2023-01-14,52,36105.78,self-employed,584,0.44,4869.93,car,divorced,2,rent,20,23,1,1,6117.15,0
20,Applicant_1,2023-01-15,32,34070.85,employed,527,0.58,4937.42,education,single,4,family,7,37,0,0,5457.72,0
21,Applicant_1,2023-01-17,63,32574.06,self-employed,570,0.4,2522.97,home,single,0,own,10,4,0,0,3508.34,0
22,Applicant_1,2023-01-18,49,18569.92,employed,423,0.72,7728.49,car,divorced,4,family,15,15,1,1,2776.79,0
23,Applicant_1,2023-01-19,24,18904.42,self-employed,397,0.45,11206.58,personal,married,3,rent,14,3,0,0,3441.14,0
24,Applicant_1,2023-01-20,64,44771.17,unemployed,603,0.58,1096.18,home,single,1,own,17,28,0,0,4785.3,0
25,Applicant_1,2023-01-23,35,50432.88,unemployed,504,0.13,1294.76,car,single,3,family,3,3,0,0,6915.55,1
26,Applicant_1,2023-01-24,66,16642.61,employed,646,0.64,757.39,car,married,3,rent,6,25,0,0,3209.23,0
27,Applicant_1,2023-01-28,18,29543.5,unemployed,484,0.32,5072.7,education,married,2,rent,17,31,0,0,3074.04,0
28,Applicant_1,2023-01-28,31,58876.42,employed,569,0.21,2775.36,home,divorced,2,own,1,37,1,0,8406.34,0
29,Applicant_1,2023-01-29,50,29860.72,employed,569,0.51,945.52,car,single,4,own,7,25,0,0,5408.39,1
30,Applicant_1,2023-01-29,54,18883.48,employed,420,0.67,993.23,home,divorced,0,rent,18,36,1,1,3310.07,0
31,Applicant_1,2023-01-30,63,33932.93,unemployed,559,0.64,292.0,car,married,3,own,20,19,1,1,5050.16,0
32,Applicant_1,2023-01-30,22,39812.16,employed,531,0.56,914.7,personal,divorced,4,own,2,34,0,0,7904.84,0
33,Applicant_1,2023-01-31,26,20094.74,unemployed,456,0.36,1074.91,home,single,2,rent,5,28,1,0,3746.07,1
34,Applicant_1,2023-02-01,53,31560.85,unemployed,531,0.79,8506.95,home,single,2,own,3,35,0,0,5755.98,0
35,Applicant_1,2023-02-01,56,28548.96,employed,455,0.62,1832.45,education,single,5,family,8,32,1,1,5379.51,0
36,Applicant_1,2023-02-02,21,178709.47,employed,850,0.37,6985.92,personal,married,0,own,10,8,1,0,20019.13,1
37,Applicant_1,2023-02-03,53,65265.44,self-employed,706,0.37,631.69,personal,divorced,0,own,2,9,0,0,8730.83,1
38,Applicant_1,2023-02-04,55,46194.17,self-employed,642,0.61,6324.21,car,married,1,own,9,23,0,0,7680.06,1
39,Applicant_1,2023-02-04,31,25991.18,self-employed,436,0.41,1591.19,car,divorced,0,rent,17,26,0,0,4487.7,1
40,Applicant_1,2023-02-05,33,16783.26,employed,508,0.63,30711.24,car,married,0,own,10,26,0,0,2697.13,0
41,Applicant_1,2023-02-06,68,19553.01,self-employed,521,0.55,623.63,home,married,0,rent,7,12,1,1,5281.77,0
42,Applicant_1,2023-02-06,68,45448.01,employed,649,0.57,36955.08,car,single,5,own,12,21,1,0,4670.33,1
43,Applicant_1,2023-02-07,35,81260.08,unemployed,710,0.15,6236.73,personal,divorced,4,rent,0,7,1,0,8598.56,1
44,Applicant_1,2023-02-07,34,39745.28,employed,589,0.42,16590.03,home,divorced,3,rent,10,27,0,0,6832.39,0
45,Applicant_1,2023-02-09,54,26544.32,employed,480,0.57,74.82,education,single,5,rent,0,33,0,0,4577.9,0
46,Applicant_1,2023-02-09,22,27042.73,self-employed,442,0.33,5367.21,education,divorced,2,family,3,19,1,1,4579.75,0
