application_id,applicant_id,ds,applicant_age,annual_income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,property_value,down_payment,loan_term_years,interest_rate,marital_status,num_dependents,residence_type,years_at_current_job,has_previous_mortgage,previous_default,bank_account_balance,is_approved
1,Applicant_1,2023-01-01,65,42986.05,employed,735,0.28,61254.84,86983.31,12581.45,15,5.03,divorced,0,family,13,0,0,22686.58,0
2,Applicant_1,2023-01-01,38,35337.42,employed,614,0.5,277409.88,338780.93,47350.57,30,3.66,divorced,2,rent,24,0,0,19354.56,1
3,Applicant_1,2023-01-03,46,48007.71,self-employed,685,0.3,119965.77,235825.18,39458.01,15,4.14,married,2,family,8,0,0,26769.12,1
4,Applicant_1,2023-01-03,59,102017.22,employed,658,0.21,487902.09,733232.68,154278.12,25,4.73,divorced,0,rent,21,0,0,37805.09,1
5,Applicant_1,2023-01-04,30,40891.87,employed,641,0.31,439917.65,661680.57,126170.61,25,3.49,married,1,family,8,0,0,21817.54,1
6,Applicant_1,2023-01-04,35,43934.95,retired,669,0.32,378107.06,503155.38,88500.55,20,5.05,single,1,rent,25,1,1,18677.58,0
7,Applicant_1,2023-01-07,38,77358.97,retired,721,0.25,444365.43,645104.1,149075.64,30,5.65,divorced,3,rent,8,0,0,35140.99,1
8,Applicant_1,2023-01-07,60,62347.91,retired,726,0.27,168233.72,280558.13,78434.12,30,4.09,single,4,own_other,2,0,0,26757.1,1
9,Applicant_1,2023-01-08,34,93316.83,retired,728,0.17,121991.9,212800.84,46663.35,30,4.14,married,4,own_other,17,0,0,30803.43,1
10,Applicant_1,2023-01-09,32,17416.1,retired,639,0.42,448154.8,806993.36,204750.15,25,3.33,married,1,own_other,0,1,0,18115.5,0
11,Applicant_1,2023-01-09,31,66358.36,retired,589,0.41,184300.16,315366.98,69946.52,20,4.12,single,4,family,29,0,0,20143.59,1
12,Applicant_1,2023-01-10,56,46109.27,employed,719,0.28,100340.48,149545.9,44424.75,25,3.72,single,4,rent,2,1,0,21110.7,1
13,Applicant_1,2023-01-10,59,98739.74,employed,787,0.14,107776.16,170310.68,35758.55,25,4.58,divorced,3,rent,29,0,0,34572.0,1
14,Applicant_1,2023-01-11,50,35157.19,retired,694,0.32,342445.13,530954.34,108057.26,15,3.74,single,2,rent,18,0,0,17560.26,1
15,Applicant_1,2023-01-11,25,91766.16,employed,758,0.17,368528.43,459591.44,52154.47,15,5.58,single,4,rent,8,1,0,23426.32,1
